#重庆有线 第三方代理？来源于网络

央视,#genre#
CCTV1,https://cqcb.iptv.darwinchow.com/cctv1HD
CCTV2,https://cqcb.iptv.darwinchow.com/cctv2HD
CCTV3,https://cqcb.iptv.darwinchow.com/cctv3HD
CCTV4,https://cqcb.iptv.darwinchow.com/cctv4HD
CCTV5,https://cqcb.iptv.darwinchow.com/cctv5HD
CCTV5+,https://cqcb.iptv.darwinchow.com/cctv5sportHD
CCTV6,https://cqcb.iptv.darwinchow.com/cctv6HD
CCTV7,https://cqcb.iptv.darwinchow.com/cctv7HD
CCTV8,https://cqcb.iptv.darwinchow.com/cctv8HD
CCTV9,https://cqcb.iptv.darwinchow.com/cctv9HD
CCTV10,https://cqcb.iptv.darwinchow.com/cctv10HD
CCTV11,https://cqcb.iptv.darwinchow.com/cctv11HD
CCTV12,https://cqcb.iptv.darwinchow.com/cctv12HD
CCTV13,https://cqcb.iptv.darwinchow.com/cctvnewsHD
CCTV14,https://cqcb.iptv.darwinchow.com/cctvseHD
CCTV15,https://cqcb.iptv.darwinchow.com/cctv15HD
CCTV16,https://cqcb.iptv.darwinchow.com/cctv16HD
CCTV16[4K],https://cqcb.iptv.darwinchow.com/cctv16_4K
CCTV17,https://cqcb.iptv.darwinchow.com/cctv17HD
CCTV4K,https://cqcb.iptv.darwinchow.com/cctv4K

第一剧场,https://cqcb.iptv.darwinchow.com/diyijuchangHD
怀旧剧场,https://cqcb.iptv.darwinchow.com/hjjcHD
风云剧场,https://cqcb.iptv.darwinchow.com/fyjcHD
风云足球,https://cqcb.iptv.darwinchow.com/fyzqHD
风云音乐,https://cqcb.iptv.darwinchow.com/fyyyHD
兵器科技,https://cqcb.iptv.darwinchow.com/bqkjHD
央视台球,https://cqcb.iptv.darwinchow.com/ystqHD
高尔夫网球,https://cqcb.iptv.darwinchow.com/golfHD
央视文化,https://cqcb.iptv.darwinchow.com/yswhHD
女性时尚,https://cqcb.iptv.darwinchow.com/nvxing

中学生,https://cqcb.iptv.darwinchow.com/qicai
老故事,https://cqcb.iptv.darwinchow.com/gushi
发现之旅,https://cqcb.iptv.darwinchow.com/faxian
CGTN,https://cqcb.iptv.darwinchow.com/cgtnsd
CETV1,https://cqcb.iptv.darwinchow.com/cetv-1sd
CETV4,https://cqcb.iptv.darwinchow.com/cetv-4sd
早期教育,https://cqcb.iptv.darwinchow.com/zaojiaoHD



卫视,#genre#
湖南卫视,https://cqcb.iptv.darwinchow.com/hunanHD
金鹰卡通,https://cqcb.iptv.darwinchow.com/jinyingsd
北京卫视,https://cqcb.iptv.darwinchow.com/beijingHD
东方卫视,https://cqcb.iptv.darwinchow.com/shanghaiHD
天津卫视,https://cqcb.iptv.darwinchow.com/tianjinHD
重庆卫视,https://cqcb.iptv.darwinchow.com/chongqingHD
黑龙江卫视,https://cqcb.iptv.darwinchow.com/heilongjiangHD
吉林卫视,https://cqcb.iptv.darwinchow.com/jilinHD
辽宁卫视,https://cqcb.iptv.darwinchow.com/liaoningHD
江苏卫视,https://cqcb.iptv.darwinchow.com/jiangsuHD
浙江卫视,https://cqcb.iptv.darwinchow.com/zhejiangHD
东南卫视,https://cqcb.iptv.darwinchow.com/dongnanHD
广东卫视,https://cqcb.iptv.darwinchow.com/guangdongHD
深圳卫视,https://cqcb.iptv.darwinchow.com/shenzhenHD
江西卫视,https://cqcb.iptv.darwinchow.com/jiangxiHD
广西卫视,https://cqcb.iptv.darwinchow.com/guangxiHD
贵州卫视,https://cqcb.iptv.darwinchow.com/guizhouHD
四川卫视,https://cqcb.iptv.darwinchow.com/sichuanHD
河南卫视,https://cqcb.iptv.darwinchow.com/henanHD
内蒙古卫视,https://cqcb.iptv.darwinchow.com/neimengkusd
安徽卫视,https://cqcb.iptv.darwinchow.com/anhuisd
湖北卫视,https://cqcb.iptv.darwinchow.com/hubeisd
宁夏卫视,https://cqcb.iptv.darwinchow.com/ningxia
青海卫视,https://cqcb.iptv.darwinchow.com/qinghaisd
河北卫视,https://cqcb.iptv.darwinchow.com/hebeisd
云南卫视,https://cqcb.iptv.darwinchow.com/yunnansd
新疆卫视,https://cqcb.iptv.darwinchow.com/xinjiangsd
兵团卫视,https://cqcb.iptv.darwinchow.com/bingtuansd
西藏卫视,https://cqcb.iptv.darwinchow.com/xizangsd
海南卫视,https://cqcb.iptv.darwinchow.com/hainansd
三沙卫视,https://cqcb.iptv.darwinchow.com/sanshasd

数字,#genre#
CHC高清电影,https://cqcb.iptv.darwinchow.com/chcgqdyHD
CHC动作电影,https://cqcb.iptv.darwinchow.com/chcdzdyHD
CHC家庭影院,https://cqcb.iptv.darwinchow.com/chcjtyyHD
北京卡酷,https://cqcb.iptv.darwinchow.com/bjkakusd
欢笑剧场,https://cqcb.iptv.darwinchow.com/hxjc_4K
都市剧场,https://cqcb.iptv.darwinchow.com/dsjcHD
