湖南移动内网源
整理自易视腾接口：http://hntvepg.taipan.jda.bcs.ottcn.com:8080/ysten-lvoms-epg/epg/getChannels.shtml?templateId=0731  （templateId为区号）

央视,#genre#
CCTV-1高清,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000021973/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1
CCTV-2,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000012442/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1
CCTV-3,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000011218/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1
CCTV-4,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000031664/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1
CCTV-5,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000004794/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1
CCTV5+,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000020505/1.m3u8?channel-id=ystenlive&Contentid=1000000001000020505&livemode=1
CCTV-6,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000016466/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1
CCTV-7,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000017218/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1
CCTV-7,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000006000270004/index.m3u8?channel-id=ystenlive&Contentid=1000000006000270004&livemode=1&AuthInfo=-&IASHttpSessionId=SLB000001&$咪咕
CCTV-8,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000003736/1.m3u8?channel-id=ystenlive&Contentid=1000000001000003736&livemode=1
CCTV-9,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000028286/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028286&livemode=1
CCTV-10,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000026367/1.m3u8?channel-id=ystenlive&Contentid=1000000001000026367&livemode=1
CCTV-11,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000019789/1.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1
CCTV-12,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000001640/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001640&livemode=1
CCTV-13,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000021303/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1
CCTV-14,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000021349/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021349&livemode=1
CCTV-15,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000008163/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1
CCTV-16高清8M,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000006000233002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1
CCTV-17高清4M,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000005000056836/1.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1
CGTN,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000009569/1.m3u8?channel-id=ystenlive&Contentid=1000000002000009569&livemode=1
CGTN法语,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000006000280003/1.m3u8?channel-id=ystenlive&Contentid=1000000006000280003&livemode=1
CGTN俄语,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000006000280004/1.m3u8?channel-id=ystenlive&Contentid=1000000006000280004&livemode=1
CGTN阿拉伯语,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000006000280001/1.m3u8?channel-id=ystenlive&Contentid=1000000006000280001&livemode=1
CGTN,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000009569/1.m3u8?channel-id=ystenlive&Contentid=1000000002000009569&livemode=1
