央视,#genre#
CCTV1综合,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226635/1.m3u8
CCTV1综合,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226638/1.m3u8
CCTV1综合,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226667/1.m3u8
CCTV1综合,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226736/1.m3u8
CCTV1综合,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV2财经,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8
CCTV3综艺,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8
CCTV4国际,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV5体育,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8
CCTV5+,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8
CCTV6电影,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8
CCTV7军事,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8
CCTV8剧场,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8
CCTV9纪录,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8
CCTV9纪录,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226657/1.m3u8
CCTV10科教,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8
CCTV11戏曲,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8
CCTV12社法,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8
CCTV12社法,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226748/1.m3u8
CCTV13新闻,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8
CCTV14少儿,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226645/1.m3u8
CCTV14少儿,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226663/1.m3u8
CCTV15音乐,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226648/1.m3u8
CCTV16奥体,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8
CCTV17农业,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226727/1.m3u8
CCTV17农业,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226660/1.m3u8
CGTN,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226666/1.m3u8
CETV1,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226712/1.m3u8
CETV1,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226673/1.m3u8
CETV2,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226718/1.m3u8
CETV3,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226722/1.m3u8
CETV4,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226724/1.m3u8


卫视,#genre#

江苏卫视,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226692/1.m3u8
湖南卫视,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8
浙江卫视,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226690/1.m3u8
北京卫视,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226719/1.m3u8
东方卫视,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226734/1.m3u8
天津卫视,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226686/1.m3u8
重庆卫视,http://120.196.232.101:8088/rrs04.hw.gmcc.net/PLTV/651/224/3221226680/1.m3u8
