ip：
120.196.232.101
120.198.234.196
120.198.234.197
120.198.234.198
120.198.234.199


央视,#genre#
CCTV1综合,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227607&HlsProfileId=
CCTV2财经,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227600&HlsProfileId=
CCTV3综艺,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227602&HlsProfileId=
CCTV4中文国际,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227637&HlsProfileId=
CCTV5体育,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227604&HlsProfileId=
CCTV5+体育赛事,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227567&HlsProfileId=
CCTV6电影,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227606&HlsProfileId=
CCTV7国防军事,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227648&HlsProfileId=
CCTV8电视剧,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227571&HlsProfileId=
CCTV9纪录,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227565&HlsProfileId=
CCTV9纪录,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227570&HlsProfileId=
CCTV10科教,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227559&HlsProfileId=
CCTV11戏曲,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227596&HlsProfileId=
CCTV12社会与法,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227562&HlsProfileId=
CCTV12社会与法,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227560&HlsProfileId=
CCTV13新闻,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227598&HlsProfileId=
CCTV14少儿,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227564&HlsProfileId=
CCTV14少儿,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227535&HlsProfileId=
CCTV15音乐,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227593&HlsProfileId=
CCTV16奥林匹克,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227840&HlsProfileId=
CCTV17农业农村,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227568&HlsProfileId=
CCTV17农业农村,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227566&HlsProfileId=

卫视,#genre#
湖南卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227616&HlsProfileId=

北京卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227610&HlsProfileId=
东方卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227575&HlsProfileId=
天津卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227632&HlsProfileId=
重庆卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227642&HlsProfileId=
黑龙江卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227609&HlsProfileId=
吉林卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227618&HlsProfileId=
辽宁卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227617&HlsProfileId=
内蒙古卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227587&HlsProfileId=
宁夏卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227624&HlsProfileId=
甘肃卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227612&HlsProfileId=
青海卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227626&HlsProfileId=
陕西卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227625&HlsProfileId=
河北卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227551&HlsProfileId=
河北卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227577&HlsProfileId=
山西卫视,http://120.196.232.124:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227630&HlsProfileId=
