央视频道,#genre#
CCTV-1 综合,https://shyd.130519.xyz/cms001/ch00000090990000001022/index.m3u8?IAS
CCTV-2 财经,https://shyd.130519.xyz/cms001/ch00000090990000001220/index.m3u8?IAS
CCTV-3 综艺,https://shyd.130519.xyz/cms001/ch00000090990000001186/index.m3u8?IAS
CCTV-4 中文国际,https://shyd.130519.xyz/cms001/ch00000090990000001221/index.m3u8?IAS
CCTV-5 体育,https://shyd.130519.xyz/cms001/ch00000090990000001187/index.m3u8?IAS
CCTV-6 电影,https://shyd.130519.xyz/cms001/ch00000090990000001188/index.m3u8?IAS
CCTV-7 国防军事,https://shyd.130519.xyz/cms001/ch00000090990000001236/index.m3u8?IAS
CCTV-8 电视剧,https://shyd.130519.xyz/cms001/ch00000090990000001189/index.m3u8?IAS
CCTV-9 纪录,https://shyd.130519.xyz/cms001/ch00000090990000001237/index.m3u8?IAS
CCTV-10 科教,https://shyd.130519.xyz/cms001/ch00000090990000001238/index.m3u8?IAS
CCTV-11 戏曲,https://shyd.130519.xyz/cms001/ch00000090990000001309/index.m3u8?IAS
CCTV-12 社会与法,https://shyd.130519.xyz/cms001/ch00000090990000001239/index.m3u8?IAS
CCTV-13 新闻,https://shyd.130519.xyz/cms001/ch00000090990000001328/index.m3u8?IAS
CCTV-14 少儿,https://shyd.130519.xyz/cms001/ch00000090990000001240/index.m3u8?IAS
CCTV-15 音乐,https://shyd.130519.xyz/cms001/ch00000090990000001338/index.m3u8?IAS
CCTV-16 奥林匹克,https://shyd.130519.xyz/cms001/ch00000090990000001248/index.m3u8?IAS
CCTV-17 农业农村,https://shyd.130519.xyz/cms001/ch00000090990000001241/index.m3u8?IAS
CCTV-16 奥林匹克 4K,https://shyd.130519.xyz/cms001/ch00000090990000001258/index.m3u8?IAS
CGTN英语,https://shyd.130519.xyz/cms001/ch00000090990000001058/index.m3u8?IAS
卫视频道,#genre#
北京卫视4K,https://shyd.130519.xyz/cms001/ch00000090990000001500/index.m3u8?IAS
北京卫视,https://shyd.130519.xyz/cms001/ch00000090990000001029/index.m3u8?IAS
湖南卫视,https://shyd.130519.xyz/cms001/ch00000090990000001026/index.m3u8?IAS
东方卫视,https://shyd.130519.xyz/cms001/ch00000090990000001013/index.m3u8?IAS
四川卫视,https://shyd.130519.xyz/cms001/ch00000090990000001130/index.m3u8?IAS
天津卫视,https://shyd.130519.xyz/cms001/ch00000090990000001036/index.m3u8?IAS
安徽卫视,https://shyd.130519.xyz/cms001/ch00000090990000001037/index.m3u8?IAS
山东卫视,https://shyd.130519.xyz/cms001/ch00000090990000001028/index.m3u8?IAS
广东卫视4K,https://shyd.130519.xyz/cms001/ch00000090990000001550/index.m3u8?IAS
广西卫视,https://shyd.130519.xyz/cms001/ch00000090990000001224/index.m3u8?IAS
江苏卫视,https://shyd.130519.xyz/cms001/ch00000090990000001033/index.m3u8?IAS
江西卫视,https://shyd.130519.xyz/cms001/ch00000090990000001034/index.m3u8?IAS
河北卫视,https://shyd.130519.xyz/cms001/ch00000090990000001229/index.m3u8?IAS
河南卫视,https://shyd.130519.xyz/cms001/ch00000090990000001222/index.m3u8?IAS
浙江卫视,https://shyd.130519.xyz/cms001/ch00000090990000001023/index.m3u8?IAS
海南卫视,https://shyd.130519.xyz/cms001/ch00000090990000001183/index.m3u8?IAS
深圳卫视4K,https://shyd.130519.xyz/cms001/ch00000090990000001560/index.m3u8?IAS
湖北卫视,https://shyd.130519.xyz/cms001/ch00000090990000001027/index.m3u8?IAS
山西卫视,https://shyd.130519.xyz/cms001/ch00000090990000001070/index.m3u8?IAS
东南卫视,https://shyd.130519.xyz/cms001/ch00000090990000001201/index.m3u8?IAS
贵州卫视,https://shyd.130519.xyz/cms001/ch00000090990000001184/index.m3u8?IAS
辽宁卫视,https://shyd.130519.xyz/cms001/ch00000090990000001035/index.m3u8?IAS
重庆卫视,https://shyd.130519.xyz/cms001/ch00000090990000001129/index.m3u8?IAS
黑龙江卫视,https://shyd.130519.xyz/cms001/ch00000090990000001031/index.m3u8?IAS
内蒙古卫视,https://shyd.130519.xyz/cms001/ch00000090990000001068/index.m3u8?IAS
宁夏卫视,https://shyd.130519.xyz/cms001/ch00000090990000001074/index.m3u8?IAS
陕西卫视,https://shyd.130519.xyz/cms001/ch00000090990000001067/index.m3u8?IAS
甘肃卫视,https://shyd.130519.xyz/cms001/ch00000090990000001298/index.m3u8?IAS
吉林卫视,https://shyd.130519.xyz/cms001/ch00000090990000001225/index.m3u8?IAS
云南卫视,https://shyd.130519.xyz/cms001/ch00000090990000001223/index.m3u8?IAS
三沙卫视,https://shyd.130519.xyz/cms001/ch00000090990000001185/index.m3u8?IAS
青海卫视,https://shyd.130519.xyz/cms001/ch00000090990000001450/index.m3u8?IAS
新疆卫视,https://shyd.130519.xyz/cms001/ch00000090990000001065/index.m3u8?IAS
西藏卫视,https://shyd.130519.xyz/cms001/ch00000090990000001072/index.m3u8?IAS
兵团卫视,https://shyd.130519.xyz/cms001/ch00000090990000001066/index.m3u8?IAS
延边卫视,https://shyd.130519.xyz/cms001/ch00000090990000001470/index.m3u8?IAS
CETV-1,https://shyd.130519.xyz/cms001/ch00000090990000001020/index.m3u8?IAS
CETV-2,https://shyd.130519.xyz/cms001/ch00000090990000001226/index.m3u8?IAS
CETV-4,https://shyd.130519.xyz/cms001/ch00000090990000001348/index.m3u8?IAS
金色学堂,https://shyd.130519.xyz/cms001/ch00000090990000001194/index.m3u8?IAS
纪实人文,https://shyd.130519.xyz/cms001/ch00000090990000001019/index.m3u8?IAS
生活时尚,https://shyd.130519.xyz/cms001/ch00000090990000001199/index.m3u8?IAS
乐游频道,https://shyd.130519.xyz/cms001/ch00000090990000001200/index.m3u8?IAS
都市剧场,https://shyd.130519.xyz/cms001/ch00000090990000001203/index.m3u8?IAS
欢笑剧场,https://shyd.130519.xyz/cms001/ch00000090990000001193/index.m3u8?IAS
卡酷少儿,https://shyd.130519.xyz/cms001/ch00000090990000001245/index.m3u8?IAS
金鹰纪实,https://shyd.130519.xyz/cms001/ch00000090990000001230/index.m3u8?IAS
金鹰卡通,https://shyd.130519.xyz/cms001/ch00000090990000001460/index.m3u8?IAS
茶友频道,https://shyd.130519.xyz/cms001/ch00000090990000001234/index.m3u8?IAS
快乐垂钓,https://shyd.130519.xyz/cms001/ch00000090990000001235/index.m3u8?IAS
嘉佳卡通,https://shyd.130519.xyz/cms001/ch00000090990000001227/index.m3u8?IAS
动漫秀场,https://shyd.130519.xyz/cms001/ch00000090990000001196/index.m3u8?IAS
哈哈炫动,https://shyd.130519.xyz/cms001/ch00000090990000001232/index.m3u8?IAS
游戏风云,https://shyd.130519.xyz/cms001/ch00000090990000001192/index.m3u8?IAS
家庭理财,https://shyd.130519.xyz/cms001/ch00000090990000001278/index.m3u8?IAS
财富天下,https://shyd.130519.xyz/cms001/ch00000090990000001219/index.m3u8?IAS
中国天气,https://shyd.130519.xyz/cms001/ch00000090990000001102/index.m3u8?IAS
上海频道,#genre#
上海新闻,https://shyd.130519.xyz/cms001/ch00000090990000001014/index.m3u8?IAS
上海都市,https://shyd.130519.xyz/cms001/ch00000090990000001015/index.m3u8?IAS
上海ICS,https://shyd.130519.xyz/cms001/ch00000090990000001128/index.m3u8?IAS
七彩戏剧,https://shyd.130519.xyz/cms001/ch00000090990000001308/index.m3u8?IAS
上海教育,https://shyd.130519.xyz/cms001/ch00000090990000001268/index.m3u8?IAS
五星体育,https://shyd.130519.xyz/cms001/ch00000090990000001018/index.m3u8?IAS
