4K,#genre#
江苏卫视 4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228861/index.m3u8?servicetype=4&IASHttpSessionId=OTT
纯享4k,http://zzzzz.484947.xyz/PLTV/3/224/3221227506/index.m3u8?servicetype=4&IASHttpSessionId=OTT
4K 修复,http://zzzzz.484947.xyz/PLTV/3/224/3221228141/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV 8K,http://zzzzz.484947.xyz/PLTV/3/224/3221228165/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV 16 4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228168/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV  4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228228/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV 16 4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228314/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV  4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228472/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV5  4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228502/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV3  4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228499/index.m3u8?servicetype=4&IASHttpSessionId=OTT
4K 广告,http://zzzzz.484947.xyz/PLTV/3/224/3221228589/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV1  4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228581/index.m3u8?servicetype=4&IASHttpSessionId=OTT
晴彩篮球 4k,http://zzzzz.484947.xyz/PLTV/3/224/3221228682/index.m3u8?servicetype=4&IASHttpSessionId=OTT
晴彩竞技 4k,http://zzzzz.484947.xyz/PLTV/3/224/3221228679/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV1  4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228732/index.m3u8?servicetype=4&IASHttpSessionId=OTT
剧集轮播 4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228740/index.m3u8?servicetype=4&IASHttpSessionId=OTT
北京卫视 4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228817/index.m3u8?servicetype=4&IASHttpSessionId=OTT
广东卫视 4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228838/index.m3u8?servicetype=4&IASHttpSessionId=OTT
深圳卫视 4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228835/index.m3u8?servicetype=4&IASHttpSessionId=OTT

北京卫视 4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228890/index.m3u8?servicetype=4&IASHttpSessionId=OTT
央视,#genre#
CCTV1,http://zzzzz.484947.xyz/PLTV/3/224/3221227634/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV1,http://zzzzz.484947.xyz/PLTV/3/224/3221228213/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV1,http://zzzzz.484947.xyz/PLTV/3/224/3221227675/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV2,http://zzzzz.484947.xyz/PLTV/3/224/3221228300/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV2,http://zzzzz.484947.xyz/PLTV/3/224/3221228300/index.m3u8?servicetype=4&IASHttpSessionId=OTT
