央视,#genre#
CCTV1,http://fjyd.130519.xyz/PLTV/88888888/224/3221226908/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV2,http://fjyd.130519.xyz/PLTV/88888888/224/3221225923/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV3,http://fjyd.130519.xyz/PLTV/88888888/224/3221227445/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV4,http://fjyd.130519.xyz/PLTV/88888888/224/3221225802/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV5,http://fjyd.130519.xyz/PLTV/88888888/224/3221227283/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV6,http://fjyd.130519.xyz/PLTV/88888888/224/3221227438/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV7,http://fjyd.130519.xyz/PLTV/88888888/224/3221225927/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV8,http://fjyd.130519.xyz/PLTV/88888888/224/3221227449/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV9,http://fjyd.130519.xyz/PLTV/88888888/224/3221225929/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV10,http://fjyd.130519.xyz/PLTV/88888888/224/3221225931/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV11,http://fjyd.130519.xyz/PLTV/88888888/224/3221225815/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV12,http://fjyd.130519.xyz/PLTV/88888888/224/3221225932/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV13,http://fjyd.130519.xyz/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV14,http://fjyd.130519.xyz/PLTV/88888888/224/3221225933/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV15,http://fjyd.130519.xyz/PLTV/88888888/224/3221225818/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV16,http://fjyd.130519.xyz/PLTV/88888888/224/3221227125/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV17,http://fjyd.130519.xyz/PLTV/88888888/224/3221226986/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV5+,http://fjyd.130519.xyz/PLTV/88888888/224/3221225939/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV16,http://fjyd.130519.xyz/PLTV/88888888/224/3221227162/index.m3u8?servicetype=1&IASHttpSessionId=OTT
卫视,#genre#
北京卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227246/index.m3u8?servicetype=1&IASHttpSessionId=OTT
天津卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227205/index.m3u8?servicetype=1&IASHttpSessionId=OTT
河北卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227063/index.m3u8?servicetype=1&IASHttpSessionId=OTT
山西卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227258/index.m3u8?servicetype=1&IASHttpSessionId=OTT
内蒙古卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227244/index.m3u8?servicetype=1&IASHttpSessionId=OTT
辽宁卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227141/index.m3u8?servicetype=1&IASHttpSessionId=OTT
吉林卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227099/index.m3u8?servicetype=1&IASHttpSessionId=OTT
黑龙江卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227197/index.m3u8?servicetype=1&IASHttpSessionId=OTT
东方卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227059/index.m3u8?servicetype=1&IASHttpSessionId=OTT
江苏卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227160/index.m3u8?servicetype=1&IASHttpSessionId=OTT
浙江卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227193/index.m3u8?servicetype=1&IASHttpSessionId=OTT
安徽卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227178/index.m3u8?servicetype=1&IASHttpSessionId=OTT
江西卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227209/index.m3u8?servicetype=1&IASHttpSessionId=OTT
山东卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227236/index.m3u8?servicetype=1&IASHttpSessionId=OTT
河南卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227095/index.m3u8?servicetype=1&IASHttpSessionId=OTT
湖北卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227111/index.m3u8?servicetype=1&IASHttpSessionId=OTT
湖南卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227232/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广东卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227164/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227250/index.m3u8?servicetype=1&IASHttpSessionId=OTT
海南卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227216/index.m3u8?servicetype=1&IASHttpSessionId=OTT
重庆卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227240/index.m3u8?servicetype=1&IASHttpSessionId=OTT
四川卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227182/index.m3u8?servicetype=1&IASHttpSessionId=OTT
贵州卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227201/index.m3u8?servicetype=1&IASHttpSessionId=OTT
云南卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227181/index.m3u8?servicetype=1&IASHttpSessionId=OTT
西藏卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227217/index.m3u8?servicetype=1&IASHttpSessionId=OTT
陕西卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227221/index.m3u8?servicetype=1&IASHttpSessionId=OTT
甘肃卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227262/index.m3u8?servicetype=1&IASHttpSessionId=OTT
青海卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227119/index.m3u8?servicetype=1&IASHttpSessionId=OTT
宁夏卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227254/index.m3u8?servicetype=1&IASHttpSessionId=OTT
新疆卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227248/index.m3u8?servicetype=1&IASHttpSessionId=OTT
深圳卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227242/index.m3u8?servicetype=1&IASHttpSessionId=OTT
兵团卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227168/index.m3u8?servicetype=1&IASHttpSessionId=OTT
三沙卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227172/index.m3u8?servicetype=1&IASHttpSessionId=OTT
康巴卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221225856/index.m3u8?servicetype=1&IASHttpSessionId=OTT
延边卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227330/index.m3u8?servicetype=1&IASHttpSessionId=OTT
大湾区卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227214/index.m3u8?servicetype=1&IASHttpSessionId=OTT
东南卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227156/index.m3u8?servicetype=1&IASHttpSessionId=OTT
海峡卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227198/index.m3u8?servicetype=1&IASHttpSessionId=OTT
厦门卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221226781/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建,#genre#
福建综合,http://fjyd.130519.xyz/PLTV/88888888/224/3221227149/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建新闻,http://fjyd.130519.xyz/PLTV/88888888/224/3221227180/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建电视剧,http://fjyd.130519.xyz/PLTV/88888888/224/3221227079/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建乡村,http://fjyd.130519.xyz/PLTV/88888888/224/3221227153/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建经济,http://fjyd.130519.xyz/PLTV/88888888/224/3221227184/index.m3u8?servicetype=1&IASHttpSessionId=OTT
