4K频道,#genre#
湖南卫视4K[3840*2160],http://192.168.0.1/iptv/hndx.php?id=201500000219
北京卫视4K[3840*2160],http://192.168.0.1/iptv/hndx.php?id=201500000638
北京卫视4K[3840*2160],http://192.168.0.1/iptv/hndx.php?id=201500000640
深圳卫视4K[3840*2160],http://192.168.0.1/iptv/hndx.php?id=201500000656
广东卫视4K[3840*2160],http://192.168.0.1/iptv/hndx.php?id=201500000658
江苏卫视4K[3840*2160],http://192.168.0.1/iptv/hndx.php?id=201500000664
浙江卫视4K[3840*2160],http://192.168.0.1/iptv/hndx.php?id=201500000666
江苏卫视4K[3840*2160],http://192.168.0.1/iptv/hndx.php?id=201500000668
山东卫视4K[3840*2160],http://192.168.0.1/iptv/hndx.php?id=201500000670
四川卫视4K[3840*2160],http://192.168.0.1/iptv/hndx.php?id=201500000672
CCTV16 4K[3840*2160],http://192.168.0.1/iptv/hndx.php?id=201500000508


湖南,#genre#
湖南经视[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000068
湖南都市[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000151
湖南娱乐[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000152
湖南国际[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000153
湖南电视剧[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000155
湖南教育[720*576],http://192.168.0.1/iptv/hndx.php?id=201500000169
湖南电影[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000216
湖南爱晚[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000222
湖南经视[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000234
湖南都市[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000235
湖南娱乐[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000239
湖南电影[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000237
湖南电视剧[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000236
湖南爱晚[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000241
湖南国际[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000242
湖南教育[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000377
长沙政法[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000229
