4K频道,#genre#
湖南卫视4K[3840*2160],http://61.150.160.70:6610/000000002000/201500000219/index.m3u8?zte_offset=30&ispcode=2&starttime=
北京卫视4K[3840*2160],http://61.150.160.70:6610/000000002000/201500000638/index.m3u8?zte_offset=30&ispcode=2&starttime=
北京卫视4K[3840*2160],http://61.150.160.70:6610/000000002000/201500000640/index.m3u8?zte_offset=30&ispcode=2&starttime=
深圳卫视4K[3840*2160],http://61.150.160.70:6610/000000002000/201500000656/index.m3u8?zte_offset=30&ispcode=2&starttime=
广东卫视4K[3840*2160],http://61.150.160.70:6610/000000002000/201500000658/index.m3u8?zte_offset=30&ispcode=2&starttime=
江苏卫视4K[3840*2160],http://61.150.160.70:6610/000000002000/201500000664/index.m3u8?zte_offset=30&ispcode=2&starttime=
浙江卫视4K[3840*2160],http://61.150.160.70:6610/000000002000/201500000666/index.m3u8?zte_offset=30&ispcode=2&starttime=
江苏卫视4K[3840*2160],http://61.150.160.70:6610/000000002000/201500000668/index.m3u8?zte_offset=30&ispcode=2&starttime=
山东卫视4K[3840*2160],http://61.150.160.70:6610/000000002000/201500000670/index.m3u8?zte_offset=30&ispcode=2&starttime=
四川卫视4K[3840*2160],http://61.150.160.70:6610/000000002000/201500000672/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV16 4K[3840*2160],http://61.150.160.70:6610/000000002000/201500000508/index.m3u8?zte_offset=30&ispcode=2&starttime=


湖南,#genre#
湖南经视[1920*1080],http://61.150.160.70:6610/000000002000/201500000068/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南都市[1920*1080],http://61.150.160.70:6610/000000002000/201500000151/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南娱乐[1920*1080],http://61.150.160.70:6610/000000002000/201500000152/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南国际[1920*1080],http://61.150.160.70:6610/000000002000/201500000153/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南电视剧[1920*1080],http://61.150.160.70:6610/000000002000/201500000155/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南教育[720*576],http://61.150.160.70:6610/000000002000/201500000169/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南电影[1920*1080],http://61.150.160.70:6610/000000002000/201500000216/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南爱晚[1920*1080],http://61.150.160.70:6610/000000002000/201500000222/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南经视[1920*1080],http://61.150.160.70:6610/000000002000/201500000234/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南都市[1920*1080],http://61.150.160.70:6610/000000002000/201500000235/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南娱乐[1920*1080],http://61.150.160.70:6610/000000002000/201500000239/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南电影[1920*1080],http://61.150.160.70:6610/000000002000/201500000237/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南电视剧[1920*1080],http://61.150.160.70:6610/000000002000/201500000236/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南爱晚[1920*1080],http://61.150.160.70:6610/000000002000/201500000241/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南国际[1920*1080],http://61.150.160.70:6610/000000002000/201500000242/index.m3u8?zte_offset=30&ispcode=2&starttime=
湖南教育[1920*1080],http://61.150.160.70:6610/000000002000/201500000377/index.m3u8?zte_offset=30&ispcode=2&starttime=
长沙政法[1920*1080],http://61.150.160.70:6610/000000002000/201500000229/index.m3u8?zte_offset=30&ispcode=2&starttime=
长沙新闻[1920*1080],http://61.150.160.70:6610/000000002000/201500000232/index.m3u8?zte_offset=30&ispcode=2&starttime=
长沙文旅[1920*1080],http://61.150.160.70:6610/000000002000/201500000589/index.m3u8?zte_offset=30&ispcode=2&starttime=
宁乡综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000511/index.m3u8?zte_offset=30&ispcode=2&starttime=
长沙县新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000566/index.m3u8?zte_offset=30&ispcode=2&starttime=
浏阳新闻[1920*1080],http://61.150.160.70:6610/000000002000/201500000334/index.m3u8?zte_offset=30&ispcode=2&starttime=

临澧新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000565/index.m3u8?zte_offset=30&ispcode=2&starttime=
冷水江新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000587/index.m3u8?zte_offset=30&ispcode=2&starttime=
娄底公共[1920*1080],http://61.150.160.70:6610/000000002000/201500000418/index.m3u8?zte_offset=30&ispcode=2&starttime=
娄底综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000417/index.m3u8?zte_offset=30&ispcode=2&starttime=
安乡新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000569/index.m3u8?zte_offset=30&ispcode=2&starttime=
岳阳文旅都市[1920*1080],http://61.150.160.70:6610/000000002000/201500000571/index.m3u8?zte_offset=30&ispcode=2&starttime=
岳阳新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000570/index.m3u8?zte_offset=30&ispcode=2&starttime=
常德新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000351/index.m3u8?zte_offset=30&ispcode=2&starttime=
张家界公共[1920*1080],http://61.150.160.70:6610/000000002000/201500000379/index.m3u8?zte_offset=30&ispcode=2&starttime=
张家界新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000378/index.m3u8?zte_offset=30&ispcode=2&starttime=
怀化新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000353/index.m3u8?zte_offset=30&ispcode=2&starttime=
新化综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000562/index.m3u8?zte_offset=30&ispcode=2&starttime=
株洲新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000195/index.m3u8?zte_offset=30&ispcode=2&starttime=
桂东融媒[1920*1080],http://61.150.160.70:6610/000000002000/201500000529/index.m3u8?zte_offset=30&ispcode=2&starttime=
桃源综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000572/index.m3u8?zte_offset=30&ispcode=2&starttime=
武冈综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000557/index.m3u8?zte_offset=30&ispcode=2&starttime=
永州新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000491/index.m3u8?zte_offset=30&ispcode=2&starttime=
永州经济生活[1920*1080],http://61.150.160.70:6610/000000002000/201500000492/index.m3u8?zte_offset=30&ispcode=2&starttime=
洞口融媒综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000003/index.m3u8?zte_offset=30&ispcode=2&starttime=
