央视,#genre#
CCTV1[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225568/10000100000000060000000000100798_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
CCTV2[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225516/10000100000000060000000000101112_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
CCTV3[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225521/10000100000000060000000000101108_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
CCTV4[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225660/10000100000000060000000000375758_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
CCTV5[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225520/10000100000000060000000000101109_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
CCTV5+[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225569/10000100000000060000000000100797_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
CCTV6[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225519/10000100000000060000000000101110_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
CCTV7[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225515/10000100000000060000000000101113_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
CCTV8[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225518/10000100000000060000000000101111_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
CCTV9[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225514/10000100000000060000000000101114_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
CCTV10[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225513/10000100000000060000000000101115_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
CCTV12[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225512/10000100000000060000000000101116_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
CCTV14[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225511/10000100000000060000000000101117_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
卫视,#genre#
湖南卫视[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225693/10000100000000060000000000486590_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
湖南卫视超清[3840*2160],http://61.150.161.124/PLTV/88888891/224/3221225674/10000100000000060000000000427855_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
江苏卫视[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225561/10000100000000060000000000100835_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
浙江卫视[1920*1080],http://61.150.161.124/PLTV/88888891/224/3221225567/10000100000000060000000000100799_0.smil/index.m3u8?fmt=ts2hls&servicetype=2
