央视,#genre#
CCTV1,rtsp://61.150.162.201/PLTV/88888891/224/3221225568/10000100000000060000000000100798_0.smil
CCTV2,rtsp://61.150.162.201/PLTV/88888891/224/3221225516/10000100000000060000000000101112_0.smil
CCTV3,rtsp://61.150.162.201/PLTV/88888891/224/3221225521/10000100000000060000000000101108_0.smil
CCTV4,rtsp://61.150.162.201/PLTV/88888891/224/3221225660/10000100000000060000000000375758_0.smil
CCTV5,rtsp://61.150.162.201/PLTV/88888891/224/3221225520/10000100000000060000000000101109_0.smil
CCTV5+,rtsp://61.150.162.201/PLTV/88888891/224/3221225569/10000100000000060000000000100797_0.smil
CCTV6,rtsp://61.150.162.201/PLTV/88888891/224/3221225519/10000100000000060000000000101110_0.smil
CCTV7,rtsp://61.150.162.201/PLTV/88888891/224/3221225515/10000100000000060000000000101113_0.smil
CCTV8,rtsp://61.150.162.201/PLTV/88888891/224/3221225518/10000100000000060000000000101111_0.smil
CCTV9,rtsp://61.150.162.201/PLTV/88888891/224/3221225514/10000100000000060000000000101114_0.smil
CCTV10,rtsp://61.150.162.201/PLTV/88888891/224/3221225513/10000100000000060000000000101115_0.smil
CCTV12,rtsp://61.150.162.201/PLTV/88888891/224/3221225512/10000100000000060000000000101116_0.smil
CCTV14,rtsp://61.150.162.201/PLTV/88888891/224/3221225511/10000100000000060000000000101117_0.smil
CGTN,rtsp://61.150.162.201/PLTV/88888891/224/3221225611/10000100000000060000000000097986_0.smil
CGTN纪录,rtsp://61.150.162.201/PLTV/88888891/224/3221225619/10000100000000060000000000097957_0.smil

卫视,#genre#
湖南卫视4K,rtsp://61.150.162.201/PLTV/88888891/224/3221225674/10000100000000060000000000427855_0.smil
湖南卫视,rtsp://61.150.162.201/PLTV/88888891/224/3221225693/10000100000000060000000000486590_0.smil
湖南卫视,rtsp://61.150.162.201/PLTV/88888891/224/3221225564/10000100000000060000000000100815_0.smil
江苏卫视,rtsp://61.150.162.201/PLTV/88888891/224/3221225561/10000100000000060000000000100835_0.smil
浙江卫视,rtsp://61.150.162.201/PLTV/88888891/224/3221225567/10000100000000060000000000100799_0.smil
北京卫视,rtsp://61.150.162.201/PLTV/88888891/224/3221225566/10000100000000060000000000100813_0.smil
天津卫视,rtsp://61.150.162.201/PLTV/88888891/224/3221225522/10000100000000060000000000101107_0.smil
东方卫视,rtsp://61.150.162.201/PLTV/88888891/224/3221225562/10000100000000060000000000100834_0.smil
深圳卫视,rtsp://61.150.162.201/PLTV/88888891/224/3221225565/10000100000000060000000000100814_0.smil
东南卫视,rtsp://61.150.162.201/PLTV/88888891/224/3221225733/10000100000000060000000000618294_0.smil
广东卫视,rtsp://61.150.162.201/PLTV/88888891/224/3221225734/10000100000000060000000000618293_0.smil
湖北卫视,rtsp://61.150.162.201/PLTV/88888891/224/3221225625/10000100000000060000000000261587_0.smil
山东卫视,rtsp://61.150.162.201/PLTV/88888891/224/3221225560/10000100000000060000000000100836_0.smil
