4K频道,#genre#
湖南卫视4K,http://192.168.0.1:4022/rtp/239.76.253.62:9000?fcc=124.232.149.47:15970
湖南卫视4K,http://192.168.0.1:4022/rtp/239.76.253.224:9000?fcc=124.232.149.47:15970
湖南卫视4K,http://192.168.0.1:4022/rtp/239.76.253.214:9000?fcc=124.232.149.47:15970
湖南卫视4K,http://192.168.0.1:4022/rtp/239.76.253.100:9000?fcc=124.232.149.47:15970
湖南卫视4K,http://192.168.0.1:4022/rtp/239.76.254.136:9000?fcc=124.232.149.47:15970
江苏卫视4K,http://192.168.0.1:4022/rtp/239.76.254.216:9000?fcc=124.232.149.47:15970
江苏卫视4K,http://192.168.0.1:4022/rtp/239.76.254.218:9000?fcc=124.232.149.47:15970
浙江卫视4K,http://192.168.0.1:4022/rtp/239.76.254.220:9000?fcc=124.232.149.47:15970
浙江卫视4K,http://192.168.0.1:4022/rtp/239.76.254.222:9000?fcc=124.232.149.47:15970
东方卫视4K,http://192.168.0.1:4022/rtp/239.76.254.224:9000?fcc=124.232.149.47:15970
东方卫视4K,http://192.168.0.1:4022/rtp/239.76.254.226:9000?fcc=124.232.149.47:15970
北京卫视4K,http://192.168.0.1:4022/rtp/239.76.253.246:9000?fcc=124.232.149.47:15970
北京卫视4K,http://192.168.0.1:4022/rtp/239.76.253.150:9000?fcc=124.232.149.47:15970
四川卫视4K,http://192.168.0.1:4022/rtp/239.76.254.232:9000?fcc=124.232.149.47:15970
四川卫视4K,http://192.168.0.1:4022/rtp/239.76.254.234:9000?fcc=124.232.149.47:15970
山东卫视4K,http://192.168.0.1:4022/rtp/239.76.254.228:9000?fcc=124.232.149.47:15970
山东卫视4K,http://192.168.0.1:4022/rtp/239.76.254.230:9000?fcc=124.232.149.47:15970
广东卫视4K,http://192.168.0.1:4022/rtp/239.76.254.138:9000?fcc=124.232.149.47:15970
广东卫视4K,http://192.168.0.1:4022/rtp/239.76.254.139:9000?fcc=124.232.149.47:15970
深圳卫视4K,http://192.168.0.1:4022/rtp/239.76.254.137:9000?fcc=124.232.149.47:15970
CCTV4K-超高清,http://192.168.0.1:4022/rtp/239.76.254.101:9000?fcc=124.232.149.47:15970
CCTV4K-超高清,http://192.168.0.1:4022/rtp/239.76.254.64:9000?fcc=124.232.149.47:15970
CCTV16-奥林匹克4K,http://192.168.0.1:4022/rtp/239.76.254.200:9000?fcc=124.232.149.47:15970
CCTV16-奥林匹克4K,http://192.168.0.1:4022/rtp/239.76.253.230:9000?fcc=124.232.149.47:15970
欢笑剧场4K,http://192.168.0.1:4022/rtp/239.76.253.43:9000?fcc=124.232.149.47:15970
欢笑剧场4K,http://192.168.0.1:4022/rtp/239.76.254.66:9000?fcc=124.232.149.47:15970


央视频道,#genre#
CCTV1-综合,http://192.168.0.1:4022/rtp/239.76.253.151:9000?fcc=124.232.149.47:15970
CCTV2-财经,http://192.168.0.1:4022/rtp/239.76.253.152:9000?fcc=124.232.149.47:15970
CCTV3-综艺,http://192.168.0.1:4022/rtp/239.76.253.153:9000?fcc=124.232.149.47:15970
CCTV4-中文国际,http://192.168.0.1:4022/rtp/239.76.253.154:9000?fcc=124.232.149.47:15970
CCTV4-中文国际欧洲,http://192.168.0.1:4022/rtp/239.76.253.95:9000?fcc=124.232.149.47:15970
CCTV4-中文国际美洲,http://192.168.0.1:4022/rtp/239.76.253.96:9000?fcc=124.232.149.47:15970
CCTV5-体育,http://192.168.0.1:4022/rtp/239.76.254.214:9000?fcc=124.232.149.47:15970
CCTV5-体育,http://192.168.0.1:4022/rtp/239.76.253.155:9000?fcc=124.232.149.47:15970
CCTV5+-体育赛事,http://192.168.0.1:4022/rtp/239.76.254.215:9000?fcc=124.232.149.47:15970
CCTV5+-体育赛事,http://192.168.0.1:4022/rtp/239.76.253.168:9000?fcc=124.232.149.47:15970
CCTV6-电影,http://192.168.0.1:4022/rtp/239.76.253.156:9000?fcc=124.232.149.47:15970
CCTV7-国防军事,http://192.168.0.1:4022/rtp/239.76.253.157:9000?fcc=124.232.149.47:15970
CCTV8-电视剧,http://192.168.0.1:4022/rtp/239.76.253.158:9000?fcc=124.232.149.47:15970
CCTV9-纪录,http://192.168.0.1:4022/rtp/239.76.253.159:9000?fcc=124.232.149.47:15970
CCTV10-科教,http://192.168.0.1:4022/rtp/239.76.253.160:9000?fcc=124.232.149.47:15970
CCTV11-戏曲,http://192.168.0.1:4022/rtp/239.76.252.251:9000?fcc=124.232.149.47:15970
CCTV12-社会与法,http://192.168.0.1:4022/rtp/239.76.253.162:9000?fcc=124.232.149.47:15970
CCTV13-新闻,http://192.168.0.1:4022/rtp/239.76.253.93:9000?fcc=124.232.149.47:15970
CCTV14-少儿,http://192.168.0.1:4022/rtp/239.76.253.164:9000?fcc=124.232.149.47:15970
CCTV15-音乐,http://192.168.0.1:4022/rtp/239.76.252.252:9000?fcc=124.232.149.47:15970
CCTV16-奥林匹克,http://192.168.0.1:4022/rtp/239.76.253.98:9000?fcc=124.232.149.47:15970
CCTV16-奥林匹克4K,http://192.168.0.1:4022/rtp/239.76.254.200:9000?fcc=124.232.149.47:15970
CCTV17-农业农村,http://192.168.0.1:4022/rtp/239.76.252.238:9000?fcc=124.232.149.47:15970
CCTV4K-超高清,http://192.168.0.1:4022/rtp/239.76.254.101:9000?fcc=124.232.149.47:15970
CCTV8K-超高清,http://192.168.0.1:4022/rtp/239.76.254.199:9000?fcc=124.232.149.47:15970

第一剧场,http://192.168.0.1:4022/rtp/239.76.254.49:9000?fcc=124.232.149.47:15970
风云足球,http://192.168.0.1:4022/rtp/239.76.254.52:9000?fcc=124.232.149.47:15970
风云音乐,http://192.168.0.1:4022/rtp/239.76.254.51:9000?fcc=124.232.149.47:15970
风云剧场,http://192.168.0.1:4022/rtp/239.76.254.50:9000?fcc=124.232.149.47:15970
女性时尚,http://192.168.0.1:4022/rtp/239.76.254.55:9000?fcc=124.232.149.47:15970
央视文化精品,http://192.168.0.1:4022/rtp/239.76.254.56:9000?fcc=124.232.149.47:15970
世界地理,http://192.168.0.1:4022/rtp/239.76.254.57:9000?fcc=124.232.149.47:15970
兵器科技,http://192.168.0.1:4022/rtp/239.76.254.59:9000?fcc=124.232.149.47:15970
央视台球,http://192.168.0.1:4022/rtp/239.76.254.58:9000?fcc=124.232.149.47:15970
怀旧剧场,http://192.168.0.1:4022/rtp/239.76.254.53:9000?fcc=124.232.149.47:15970
高尔夫网球,http://192.168.0.1:4022/rtp/239.76.254.62:9000?fcc=124.232.149.47:15970
卫生健康,http://192.168.0.1:4022/rtp/239.76.253.247:9000?fcc=124.232.149.47:15970
电视指南,http://192.168.0.1:4022/rtp/239.76.254.61:9000?fcc=124.232.149.47:15970
中学生,http://192.168.0.1:4022/rtp/239.76.254.27:9000?fcc=124.232.149.47:15970
老故事,http://192.168.0.1:4022/rtp/239.76.253.76:9000?fcc=124.232.149.47:15970

CETV1,http://192.168.0.1:4022/rtp/239.76.252.192:9000?fcc=124.232.149.47:15970
CETV2,http://192.168.0.1:4022/rtp/239.76.252.253:9000?fcc=124.232.149.47:15970
CETV4,http://192.168.0.1:4022/rtp/239.76.252.254:9000?fcc=124.232.149.47:15970
CETV早期教育,http://192.168.0.1:4022/rtp/239.76.254.202:9000?fcc=124.232.149.47:15970
CGTN,http://192.168.0.1:4022/rtp/239.76.252.66:9000?fcc=124.232.149.47:15970
CGTN纪录,http://192.168.0.1:4022/rtp/239.76.252.67:9000?fcc=124.232.149.47:15970
